
# Surface 0 of 1 surfaces

# Curve title: ""PPEReaction_contourtmp0.dat""

# Contour 0, label:       10
 1.28582 -1.87912  6 
 1.28655 -1.87879  6 
 1.33834 -1.85464  6 
 1.37111 -1.83838  6 
 1.39086 -1.82837  6 
 1.44339 -1.80069  6 
 1.44849 -1.79798  6 
 1.49591 -1.77222  6 
 1.52332 -1.75758  6 
 1.54844 -1.74384  6 
 1.5993 -1.71717  6 
 1.60096 -1.71628  6 
 1.65348 -1.68993  6 
 1.68233 -1.67677  6 
 1.70601 -1.6657  6 
 1.75853 -1.64411  6 
 1.78077 -1.63636  6 
 1.81106 -1.62556  6 
 1.86358 -1.61053  6 
 1.9161 -1.59939  6 
 1.94116 -1.59596  6 
 1.96863 -1.5921  6 
 2.02115 -1.58877  6 
 2.07367 -1.58935  6 
 2.1262 -1.59363  6 
 2.14213 -1.59596  6 
 2.17872 -1.60118  6 
 2.23125 -1.61162  6 
 2.28377 -1.62465  6 
 2.32452 -1.63636  6 
 2.33629 -1.63967  6 
 2.38882 -1.65598  6 
 2.44134 -1.67338  6 
 2.45122 -1.67677  6 
 2.49387 -1.69106  6 
 2.54639 -1.70874  6 
 2.57182 -1.71717  6 
 2.59891 -1.72595  6 

 0.658888  1.83837  6 
 0.655528  1.83622  6 
 0.603004  1.79823  6 
 0.602676  1.79797  6 
 0.552951  1.75756  6 
 0.55048  1.75551  6 
 0.507293  1.71716  6 
 0.497956  1.70867  6 
 0.464233  1.67675  6 
 0.445432  1.65853  6 
 0.422919  1.63635  6 
 0.392908  1.60605  6 
 0.382799  1.59595  6 
 0.343378  1.55554  6 
 0.340384  1.55239  6 
 0.303594  1.51514  6 
 0.28786  1.49878  6 
 0.263057  1.47474  6 
 0.235336  1.44712  6 
 0.221082  1.43433  6 
 0.182812  1.39901  6 
 0.176358  1.39393  6 
 0.130288  1.35656  6 
 0.125594  1.35352  6 
 0.0777639  1.32166  6 
 0.0594433  1.31312  6 
 0.0252399  1.29667  6 
-0.0272841  1.2833  6 
-0.0798081  1.28296  6 
-0.132332  1.29624  6 
-0.164625  1.31312  6 
-0.184856  1.32337  6 
-0.224217  1.35352  6 
-0.23738  1.36331  6 
-0.268326  1.39393  6 
-0.289904  1.41467  6 
-0.306452  1.43433  6 
-0.341426  1.47474  6 
-0.342428  1.47586  6 
-0.372112  1.51514  6 
